dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
89,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",185
90,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Thank you!,10
91,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"It's not every day that your young man turns eleven, now is it?",63
92,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Excuse me, who are you?",23
93,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",94
94,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Sorry, no.",10
95,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",80
96,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Learned what?,13
97,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"You're a wizard, Harry.",23
98,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,I-I'm a what?,13
99,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",81
100,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",90
101,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",118
102,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",122
103,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!",82
104,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,You knew? You knew all along and you never told me?,51
